Date,Category,Amount,Description
2025-06-01,Food,250,Lunch at Cafe
2025-06-01,Transport,60,Bus fare
2025-06-02,Entertainment,500,Movie night
2025-06-03,Bills,1200,Electricity Bill
2025-06-05,Shopping,750,New headphones
2025-06-06,Food,200,Dinner
2025-06-07,Transport,40,Auto fare
2025-06-08,Food,150,Breakfast
2025-06-09,Entertainment,300,Streaming subscription
2025-06-10,Bills,1000,Water Bill
2025-06-11,Food,450,Lunch with friends
2025-06-12,Shopping,1800,Clothes shopping
2025-06-13,Transport,70,Cab fare
2025-06-14,Entertainment,800,Concert ticket
2025-06-15,Food,220,Dinner
2025-06-16,Transport,50,Bus fare
2025-06-17,Bills,1300,Internet bill
2025-06-18,Shopping,400,Accessories
2025-06-19,Food,300,Lunch
2025-06-20,Entertainment,250,Game download
2025-07-01,Food,350,Lunch at Cafe
2025-07-01,Transport,60,Cab fare
2025-07-02,Entertainment,500,Online movie rental
2025-07-03,Bills,1500,Mobile Bill
2025-07-04,Shopping,950,Shoes
2025-07-05,Food,180,Dinner
2025-07-06,Transport,70,Bus fare
2025-07-07,Entertainment,400,Theme park
2025-07-08,Food,300,Breakfast & Lunch
2025-07-09,Bills,1400,Water & Gas Bill
2025-07-10,Shopping,1200,Backpack
2025-07-11,Food,200,Snacks
2025-07-12,Transport,50,Auto fare
2025-07-13,Entertainment,650,Movie
2025-07-14,Food,275,Dinner
2025-07-15,Transport,60,Cab fare
2025-07-16,Bills,1600,Electricity Bill
2025-07-17,Food,320,Lunch
2025-07-18,Shopping,1800,Smartwatch
2025-07-19,Entertainment,300,Streaming Service
